Pool Name,TVL (USD),A Value,Initial A,Future A
mkUSD-USDC,1308797.271337413,150,15000,15000
mkUSD/ULTRA,1307781.0080291447,50,5000,5000
Curve.fi bBTC/sbtcCRV,1306278.683191396,200,20000,20000
Curve.fi Factory Plain Pool: agEUR/EUROC,1294687.50780221,1000,100000,100000
Curve.fi Factory Plain Pool: 3EURpool,1288324.3435686878,200,20000,20000
Curve.fi Factory Plain Pool: rETH/wstETH,1274036.4521992109,50,5000,5000
thUSD,1237119.7944491552,500,50000,50000
Curve.fi Factory Plain Pool: sdPENDLE,1202664.7042271993,10,1000,1000
Curve.fi Factory USD Metapool: XAI/FRAXBP,1193753.2708114116,100,10000,10000
pyUSD/crvUSD,1178075.4569142973,500,50000,50000
mswETH/rswETH,1138795.3989790212,100,10000,10000
Curve.fi Factory USD Metapool: USDM,1101658.6129169443,100,1000,10000
mstETH/wstETH,1069562.5335243598,100,10000,10000
ULTRA-USDC,1045793.7120343528,50,5000,5000
Curve.fi Factory Plain Pool: msETH/frxETH,1041774.3703008993,200,20000,20000
Curve.fi Factory USD Metapool: 3CRV/lvUSD,1018671.0649476354,800,80000,80000
Curve.fi Factory USD Metapool: Prisma mkUSD,1013780.979700237,200,20000,20000
Curve.fi Factory Plain Pool: crvUSD/DOLA,1013383.8314885432,200,20000,20000
revPool,1003583.609725331,150,15000,15000
Curve.fi Factory Plain Pool: cvxPrisma/Prisma,993438.6654729552,25,2500,2500
Curve.fi Factory Plain Pool: sdAPW,968033.2884989672,10,1000,1000
Curve.fi Factory BTC Metapool: ibBTC,966877.2442665072,100,10000,10000
Curve.fi Factory Plain Pool: Clever clevCVX/CVX,962727.0662880046,100,10000,10000
Frax/fxUSD,953457.0858842407,500,50000,50000
USDV-crvUSD,952595.1674787493,500,50000,50000
Curve.fi Factory Plain Pool: PRISMA/yPRISMA,842992.5904517854,25,2500,2500
USDM-3crv,818421.0071604962,1500,150000,150000
Curve.fi Factory Plain Pool: crvUSD/TUSD,799253.4683839693,500,50000,50000
Curve.fi Factory Plain Pool: crvUSD/Frax,783579.3117821754,500,50000,50000
mstETH-WPUNKS-40/wstETH,783277.8309979936,15,1500,1500
weETH/WETH,751244.6124753975,200,20000,20000
wETH/rETH,739164.5361574646,200,20000,20000
Curve.fi Factory Plain Pool: LUSD/crvUSD,738922.0946416239,500,50000,50000
Curve.fi FLIP/stFLIP,731568.0388085183,100,10000,10000
thUSD/crvUSD,719625.8437824277,500,50000,50000
Curve.fi MUSD/3Crv,693357.2966152842,200,20000,20000
Curve.fi Factory Plain Pool: mkUSD/crvUSD,682877.962536751,100,10000,10000
zunETH/frxETH,629031.0152108188,1000,100000,100000
Curve.fi Factory Plain Pool: crvUSD/GUSD,586072.213056887,500,50000,50000
crvUSD/sFRAX,567508.3071157997,1500,150000,150000
alUSD/fxUSD,547230.7835415702,100,10000,10000
Curve.fi Factory Plain Pool: ibCHF/sCHF,517267.81238314504,100,10000,10000
FRAXFXB20240630,494887.22373646515,300,30000,30000
weETH/WETH-ng,482580.9664177486,500,50000,50000
crvUSD/sDAI,455821.96814403695,1500,150000,150000
Curve.fi Factory Plain Pool: sdYFI/YFI,442271.3443755977,37,3700,3700
crvUSD/zunUSD,419797.75095819257,1000,100000,100000
Curve.fi Factory Plain Pool: sdFXN,419062.4579823775,40,4000,4000
Curve.fi Factory Plain Pool: bentCVX/CVX,409890.88088524103,37,3700,3700
Curve.fi ETH/wBETH,382107.3286721651,500,50000,50000
Curve.fi oBTC/sbtcCRV,381119.1552957719,200,20000,20000
rev DOLA,340282.26034535025,20,2000,2000
rsETH/sfrxETH,338830.59055084235,250,25000,25000
crvUSD/stUSDT,336165.244122203,500,50000,50000
Curve.fi aDAI/aSUSD,335309.2454193761,100,10000,10000
Curve.fi Factory USD Metapool: LUSDFRAXBP,331304.96110234613,200,20000,20000
Curve.fi pBTC/sbtcCRV,319804.3603937206,200,20000,20000
eUSD/fxUSD,270858.9968397446,100,10000,10000
Curve.fi Factory USD Metapool: clevUSDFRAXBP,270118.9197319115,200,20000,20000
Curve.fi Factory Plain Pool: frxETH/OETH,267340.10380815214,200,20000,20000
Curve.fi Factory USD Metapool: Bean,260218.2773574058,10,1000,1000
fxUSD/rUSD,257071.13753520133,200,20000,20000
rev alUSD,244310.02675247387,20,2000,2000
eUSD/mkUSD,239476.2770380914,200,20000,20000
rev fxUSD,237203.69324286163,20,2000,2000
Curve.fi Factory Plain Pool: agEUR/ibEUR,233120.39687285604,200,20000,20000
Curve.fi Factory Plain Pool: ibKRW/sKRW,221055.3896585827,100,10000,10000
Curve.fi USDP/3Crv,213139.143774084,100,10000,10000
Curve.fi Factory Plain Pool: sdCRV,211331.7661112458,25,1000,2500
crvUSD/fxUSD,203012.15375418126,500,50000,50000
RestakeFi rstETH/stETH,202120.66433565255,100,10000,10000
Curve.fi Factory Plain Pool: sdANGLE,200002.44409294584,10,1000,1000
RestakeFi rmETH/mETH,193689.98515017578,100,10000,10000
mkUSD/fxUSD,191311.93315302607,200,20000,20000
Curve.fi Factory Plain Pool: sETH/frxETH,191294.43714614044,200,20000,20000
Curve.fi Factory Plain Pool: ibEUR/sEUR,185905.88747304818,100,10000,10000
shezETH/ETH,184661.48130385045,100,10000,10000
Curve.fi USDN/3Crv,181396.50678622173,250,10000,25000
Curve.fi Factory USD Metapool: FEI Metapool,165751.7242431076,100,1000,10000
Curve.fi Factory USD Metapool: GRAIFRAXBP,164244.60414580302,350,35000,35000
mkUSD/Paypool,158450.18554636725,150,15000,15000
mswETH/swETH,152055.81791190326,100,10000,10000
Curve.fi Factory USD Metapool: apeUSDFRAXBP,146675.1878763902,200,20000,20000
pyUSD/fxUSD,145551.23458522817,500,50000,50000
Curve.fi Factory Plain Pool: sdFXS/FXS,143450.01406551115,37,3700,3700
eETH/ETH,142009.11765296705,100,10000,10000
rUSDY/USDC,136429.68179657118,2000,200000,200000
rsTAO/WTAO,134362.02654054837,100,10000,10000
Curve.fi Factory Plain Pool: Euro Pool,129691.18204391748,10,1000,1000
cvgSDT/SDT,123335.1405637353,37,3700,3700
coveYFI/YFI,118177.1030203647,25,2500,2500
rswETH/ETH,115851.23948358896,500,50000,50000
Curve.fi Factory USD Metapool: Bean,115300.77513718541,1,100,100
shezUSD/USDC,112798.38284221933,150,15000,15000
sUSDe/sDAI/sFRAX,107120.5882303103,1000,100000,100000
RAI3CRV,106201.32493667597,100,10000,10000
LYU/USD,100723.57919149607,100,10000,10000
RestakeFi rosETH/osETH,95732.84058288852,100,10000,10000
Curve.fi USDK/3Crv,91151.00740112211,200,20000,20000
RestakeFi rsfrxETH/sfrxETH,89942.12004249103,100,10000,10000
Curve.fi Factory Plain Pool: crvUSD/MIM,89687.94780347959,1000,100000,100000
Curve.fi Factory USD Metapool: USDD/3CRV,88498.1657126362,200,20000,20000
Curve.fi Factory USD Metapool: USTPFRAXBP,83024.56564432051,500,50000,50000
Curve.fi Factory USD Metapool: home,82862.27386609922,200,20000,20000
crvUSD/cncCRVUSD,79778.1885737045,100,10000,10000
Curve.fi Factory USD Metapool: USDV,76435.17127617965,500,50000,50000
Curve.fi Factory Plain Pool: cvxFpis/Fpis,73391.23845319386,20,2000,2000
Curve.fi Factory Plain Pool: ibJPY/sJPY,70690.36779347129,100,10000,10000
YFI/upYFI,70532.82058355254,25,2500,2500
Curve.fi Factory USD Metapool: TrueUSD,69883.66334015323,600,60000,60000
Curve.fi Factory USD Metapool: Ubiquity Algorithmic Dollar,65577.2358878559,10,1000,1000
Curve.fi Factory USD Metapool: dForce,64589.30541873323,100,10000,10000
Curve.fi Factory Plain Pool: sdANGLE/ANGLE,64299.42085264542,10,1000,1000
Curve.fi Factory Plain Pool: stACME/WACME,63258.223086791855,50,5000,5000
Curve.fi Factory USD Metapool: DUSD/FRAXBP,60302.0602076909,200,20000,20000
OpenMoney USD / USDCUSDT,60260.68153867201,200,20000,20000
sol.ibcUSDT/USDT,60017.13727211354,200,20000,20000
Curve.fi Factory Plain Pool: pitchFXS/FXS,58764.82876739675,20,2000,2000
Curve.fi Factory USD Metapool: Paxos Dollar (USDP),57831.412292189576,1000,100000,100000
genETH/wstETH,43340.854082708,100,10000,10000
Curve.fi Factory Plain Pool: crvUSD/PYUSD,41783.14902902022,250,25000,25000
Curve.fi Factory Plain Pool: ETHx/WETH,41473.94242867726,200,100000,20000
Curve.fi Factory USD Metapool: USDi,39469.5590322449,1000,100000,100000
Curve.fi Factory USD Metapool: BUSDFRAXBP,39361.73489551381,1500,20000,150000
Curve.fi hBTC/wBTC,36227.58457928628,1000,300,1000
Curve.fi Factory USD Metapool: Binance USD,36050.86313067876,5000,60000,500000
Curve.fi Factory USD Metapool: thUSD,34881.10771004291,500,50000,50000
inmETH/mETH,31787.11972955632,100,10000,10000
Curve.fi LinkUSD/3Crv,30778.721678537986,5,500,500
Curve.fi Factory Plain Pool: yCRV,28671.0014237317,50,5000,5000
Curve.fi Factory Plain Pool: MIM/USDV,26829.44818713608,500,50000,50000
Curve.fi Factory Plain Pool: bentCVX,26774.52607956143,50,5000,5000
Curve.fi Factory Plain Pool: crvUSD/thUSD,25351.171646422124,500,50000,50000
Curve.fi Factory USD Metapool: sUSDFRAXBP,25071.938534070272,500,20000,50000
Curve.fi Factory USD Metapool: multiBTC+WBTC/sBTC,24653.322525151772,200,20000,20000
Curve.fi Factory USD Metapool: pUSDFRAXBP,23452.164838082237,10,1000,1000
Curve.fi Factory Plain Pool: wstTAO/wTAO,22484.394402960854,100,10000,10000
Curve.fi Factory Plain Pool: agEUR/EURe,21947.94176212429,500,50000,50000
WUSD/3CRV,20042.16862253172,200,20000,20000
MIM/fxUSD,18724.160500683574,100,10000,10000
Curve.fi Factory USD Metapool: USK/3CRV,18169.82601130434,200,20000,20000
Curve.fi Factory USD Metapool: DOLA-3pool Curve LP,18031.757665229517,100,10000,10000
Curve.fi DAI/USDC/USDT/PAX,17294.9111018042,200,200,200
inswETH/swETH,17111.849810818105,100,10000,10000
rsCOMAI/wCOMAI,16998.172437135363,100,10000,10000
Curve.fi Factory Plain Pool: sdFXS,16795.71828870589,10,1000,1000
Curve.fi DUSD/3Crv,16480.550496751355,200,20000,20000
instETH/stETH,16295.785100709254,100,10000,10000
Curve.fi Factory USD Metapool: SORA XSTUSD,15803.943654443168,100,10000,10000
Curve.fi Factory Plain Pool: MIM-UST,15299.04054619668,1000,20000,100000
insfrxETH/sfrxETH,15259.61537687682,100,10000,10000
inankrETH/ankrETH,15152.742047406886,100,10000,10000
weETH/swETH,15057.819263786689,100,10000,10000
inrETH/rETH,14963.784712857143,100,10000,10000
pyUSD/USDC,13957.983843909487,150,15000,15000
Curve.fi Factory Plain Pool: sdBPT,13826.509870730284,10,1000,1000
Curve.fi Factory USD Metapool: PAYPALFRAXBP,12636.202568269291,1000,100000,100000
Curve.fi Factory Plain Pool: Badger Locked CVX,11846.418497264956,40,10000,4000
Curve.fi Factory USD Metapool: DEI,11618.476039857029,10,1000,1000
IncbETH/cbETH,11038.633233413486,100,10000,10000
Curve.fi UST/3Crv,10970.80911538895,100,10000,10000
inoETH/OETH,10964.230702425242,100,10000,10000
InlsETH/LsETH,10909.504758979332,100,10000,10000
Curve.fi Factory Plain Pool: ApeUSD-FRAX,10897.097609803519,200,20000,20000
InosETH/osETH,10786.816550082502,100,10000,10000
InwbETH/wBETH,10520.857715421655,100,10000,10000
inETHx/ETHx,10223.757170507748,100,10000,10000
